0	0	0
0	1	0
0	2	0
0	3	0
0	4	0.0019074
0	5	0.0056899
0	6	0.0056899
0	7	0.0056899
0	8	0.0056899
0	9	0.0056899
0	10	0.0056899
0	11	0.008873
0	12	0.017303
0	13	0.019008
0	14	0.020129
0	15	0.022036
0	16	0.041766
0	17	0.048562
0	18	0.051309
0	19	0.054523
0	20	0.059038
0	21	0.059038
0	22	0.06312
0	23	0.067869
0	24	0.074965
0	25	0.12188
0	26	0.12339
0	27	0.12339
0	28	0.12432
0	29	0.12432
0	30	0.12603
0	31	0.12921
0	32	0.13355
0	33	0.13546
0	34	0.13546
0	35	0.13639
0	36	0.13639
0	37	0.13639
0	38	0.14048
0	39	0.1446
0	40	0.14572
0	41	0.15238
0	42	0.15238
0	43	0.15946
0	44	0.16771
0	45	0.17333
0	46	0.17853
0	47	0.18323
0	48	0.19093
0	49	0.19542
0	50	0.19608
0	51	0.20034
0	52	0.21681
0	53	0.22385
0	54	0.24256
0	55	0.24493
0	56	0.26774
0	57	0.28355
0	58	0.298
0	59	0.3356
1	0	0.3989
1	1	0.43129
1	2	0.43545
1	3	0.43883
1	4	0.47734
1	5	0.53124
1	6	0.53348
1	7	0.53581
1	8	0.5638
1	9	0.61263
1	10	0.65407
1	11	0.67202
1	12	0.67544
1	13	0.68454
1	14	0.69211
1	15	0.69837
1	16	0.70498
1	17	0.70782
1	18	0.71453
1	19	0.71453
1	20	0.72471
1	21	0.73163
1	22	0.76426
1	23	0.77436
1	24	0.78768
1	25	0.7915
1	26	0.79356
1	27	0.79544
1	28	0.82144
1	29	0.82683
1	30	0.83064
1	31	0.83995
1	32	0.84291
1	33	0.86181
1	34	0.87192
1	35	0.9083
1	36	0.94898
1	37	1.0252
1	38	1.053
1	39	1.0629
1	40	1.092
1	41	1.1419
1	42	1.1975
1	43	1.2272
1	44	1.2648
1	45	1.2914
1	46	1.3017
1	47	1.3083
1	48	1.3111
1	49	1.3111
1	50	1.3154
1	51	1.3154
1	52	1.3154
1	53	1.3154
1	54	1.3154
1	55	1.3154
1	56	1.3154
1	57	1.3154
1	58	1.3173
1	59	1.3219
2	0	1.3219
2	1	1.3251
2	2	1.3283
2	3	1.3362
2	4	1.3553
2	5	1.3673
2	6	1.3881
2	7	1.4654
2	8	1.5335
2	9	1.5666
2	10	1.5834
2	11	1.6577
2	12	1.7646
2	13	1.8715
2	14	1.9521
2	15	2.0495
2	16	2.1229
2	17	2.2021
2	18	2.2756
2	19	2.3351
2	20	2.4596
2	21	2.5759
2	22	2.6093
2	23	2.6951
2	24	2.7392
2	25	2.7712
2	26	2.7913
2	27	2.8436
2	28	2.9002
2	29	3.0417
2	30	3.1182
2	31	3.3992
2	32	3.7506
2	33	3.9091
2	34	4.0691
2	35	4.1804
2	36	4.4205
2	37	4.7027
2	38	4.8461
2	39	5.0459
2	40	5.1851
2	41	5.2799
2	42	5.3314
2	43	5.4361
2	44	5.4772
2	45	5.5221
2	46	5.573
2	47	5.6363
2	48	5.6544
2	49	5.6809
2	50	5.7135
2	51	5.7366
2	52	5.7563
2	53	5.782
2	54	5.799
2	55	5.8123
2	56	5.8193
2	57	5.8823
2	58	5.9313
2	59	5.9742
3	0	5.9927
3	1	6.0899
3	2	6.1243
3	3	6.1573
3	4	6.2296
3	5	6.2853
3	6	6.2999
3	7	6.3105
3	8	6.3226
3	9	6.3325
3	10	6.3381
3	11	6.3409
3	12	6.3521
3	13	6.3727
3	14	6.3843
3	15	6.3914
3	16	6.3979
3	17	6.405
3	18	6.4081
3	19	6.4096
3	20	6.4152
3	21	6.416
3	22	6.416
3	23	6.4245
3	24	6.4459
3	25	6.4634
3	26	6.4823
3	27	6.4879
3	28	6.5007
3	29	6.5048
3	30	6.5058
3	31	6.5076
3	32	6.5112
3	33	6.5125
3	34	6.5148
3	35	6.5148
3	36	6.5148
3	37	6.519
3	38	6.519
3	39	6.5357
3	40	6.5428
3	41	6.5572
3	42	6.5594
3	43	6.5603
3	44	6.5617
3	45	6.5617
3	46	6.5617
3	47	6.5624
3	48	6.5624
3	49	6.5624
3	50	6.5641
3	51	6.5654
3	52	6.5835
3	53	6.5982
3	54	6.6077
3	55	6.6361
3	56	6.6567
3	57	6.6617
3	58	6.6709
3	59	6.708
4	0	6.7282
4	1	6.7411
4	2	6.755
4	3	6.7663
4	4	6.798
4	5	6.8102
4	6	6.8342
4	7	6.8682
4	8	6.9124
4	9	6.9408
4	10	6.9712
4	11	6.9842
4	12	7.0239
4	13	7.0479
4	14	7.0637
4	15	7.1346
4	16	7.1408
4	17	7.1436
4	18	7.1486
4	19	7.1493
4	20	7.1565
4	21	7.1565
4	22	7.1615
4	23	7.1644
4	24	7.1653
4	25	7.1653
4	26	7.1679
4	27	7.1707
4	28	7.1942
4	29	7.2169
4	30	7.2236
4	31	7.2288
4	32	7.2339
4	33	7.2397
4	34	7.2461
4	35	7.2511
4	36	7.2565
4	37	7.2583
4	38	7.268
4	39	7.2689
4	40	7.2697
4	41	7.2991
4	42	7.3062
4	43	7.3182
4	44	7.3268
4	45	7.3362
4	46	7.3426
4	47	7.349
4	48	7.3544
4	49	7.3701
4	50	7.3739
4	51	7.383
4	52	7.3936
4	53	7.4197
4	54	7.4264
4	55	7.4687
4	56	7.5008
4	57	7.5379
4	58	7.5552
4	59	7.5776
5	0	7.5875
5	1	7.632
5	2	7.6731
5	3	7.7171
5	4	7.7611
5	5	7.829
5	6	7.859
5	7	7.934
5	8	7.9765
5	9	8.0107
5	10	8.0656
5	11	8.1018
5	12	8.1445
5	13	8.1984
